iter	Passed	Remaining
0	9	6595
1	11	4259
2	13	3287
3	15	2738
4	16	2387
5	18	2189
6	20	2081
7	22	1965
8	24	1943
9	27	1943
10	29	1867
11	31	1832
12	32	1774
13	34	1725
14	36	1683
15	38	1666
16	40	1665
17	42	1633
18	44	1615
19	45	1596
20	48	1592
21	50	1583
22	52	1587
23	54	1569
24	56	1562
25	58	1548
26	60	1552
27	63	1546
28	64	1524
29	65	1502
30	67	1484
31	68	1466
32	70	1455
33	73	1468
34	75	1460
35	76	1449
36	78	1436
37	80	1428
38	82	1430
39	84	1431
40	86	1418
41	87	1407
42	89	1394
43	90	1386
44	92	1379
45	94	1368
46	95	1362
47	97	1354
48	99	1346
49	100	1339
50	102	1334
51	104	1331
52	106	1328
53	107	1320
54	110	1327
55	112	1325
56	114	1326
57	116	1322
58	118	1316
59	120	1318
60	122	1313
61	124	1307
62	126	1308
63	128	1305
64	130	1302
65	132	1304
66	134	1303
67	136	1303
68	139	1305
69	141	1302
70	143	1299
71	145	1295
72	146	1291
73	148	1286
74	150	1286
75	152	1285
76	154	1282
77	156	1280
78	158	1279
79	160	1275
80	162	1272
81	164	1269
82	166	1266
83	168	1265
84	170	1263
85	172	1260
86	174	1258
87	176	1258
88	178	1256
89	180	1253
90	182	1251
91	184	1248
92	186	1245
93	188	1243
94	190	1244
95	192	1242
96	195	1242
97	196	1239
98	198	1237
99	201	1241
100	203	1237
101	205	1235
102	207	1231
103	208	1227
104	211	1226
105	212	1222
106	214	1218
107	216	1215
108	218	1215
109	220	1215
110	222	1212
111	224	1209
112	226	1206
113	228	1205
114	230	1203
115	233	1203
116	234	1200
117	236	1198
118	238	1194
119	240	1191
120	242	1188
121	244	1186
122	246	1184
123	247	1181
124	250	1182
125	253	1184
126	255	1181
127	257	1178
128	259	1179
129	261	1177
130	263	1175
131	265	1174
132	268	1174
133	270	1170
134	271	1167
135	273	1163
136	275	1164
137	277	1161
138	279	1159
139	281	1157
140	283	1154
141	285	1150
142	286	1147
143	289	1147
144	291	1147
145	294	1147
146	296	1146
147	298	1143
148	301	1144
149	303	1141
150	306	1144
151	310	1151
152	313	1151
153	315	1149
154	317	1145
155	319	1143
156	320	1140
157	322	1136
158	324	1135
159	326	1133
160	328	1131
161	332	1133
162	334	1132
163	337	1132
164	339	1132
165	343	1136
166	345	1134
167	347	1130
168	349	1128
169	350	1124
170	353	1125
171	356	1125
172	358	1122
173	360	1120
174	362	1118
175	364	1117
176	367	1117
177	369	1115
178	371	1111
179	373	1109
180	375	1107
181	377	1105
182	379	1102
183	381	1099
184	383	1098
185	385	1095
186	386	1092
187	389	1092
188	392	1091
189	394	1089
190	396	1087
191	397	1084
192	399	1081
193	401	1078
194	404	1079
195	406	1077
196	409	1075
197	410	1073
198	413	1071
199	414	1068
200	416	1065
201	418	1063
202	420	1060
203	424	1064
204	426	1062
205	429	1061
206	431	1058
207	433	1055
208	434	1052
209	436	1049
210	438	1047
211	440	1044
212	442	1042
213	444	1040
214	445	1037
215	447	1034
216	449	1031
217	451	1028
218	452	1025
219	454	1023
220	457	1021
221	459	1020
222	461	1018
223	464	1017
224	465	1014
225	468	1013
226	470	1012
227	472	1010
228	475	1008
229	476	1005
230	478	1002
231	480	999
232	482	998
233	484	996
234	486	993
235	488	991
236	490	988
237	491	985
238	493	982
239	495	980
240	498	979
241	500	978
242	502	976
243	504	973
244	506	971
245	508	968
246	509	966
247	511	963
248	513	960
249	515	958
250	517	957
251	520	956
252	522	953
253	524	951
254	526	949
255	528	947
256	531	947
257	533	945
258	535	943
259	537	940
260	539	938
261	541	936
262	544	935
263	546	932
264	548	930
265	550	929
266	552	926
267	553	924
268	555	921
269	558	919
270	560	917
271	562	915
272	564	914
273	566	912
274	569	911
275	573	911
276	575	909
277	577	908
278	580	906
279	583	906
280	585	904
281	587	902
282	589	899
283	591	896
284	592	894
285	594	891
286	596	889
287	598	887
288	600	885
289	603	883
290	605	881
291	607	879
292	608	876
293	610	874
294	613	872
295	615	871
296	617	869
297	619	867
298	621	865
299	623	862
300	625	859
301	626	857
302	628	854
303	630	852
304	633	851
305	635	848
306	636	846
307	638	844
308	640	841
309	642	839
310	644	837
311	647	836
312	649	834
313	651	831
314	652	829
315	654	826
316	656	824
317	657	821
318	660	820
319	663	818
320	665	816
321	667	814
322	669	813
323	671	810
324	673	807
325	675	805
326	677	804
327	679	801
328	681	800
329	683	797
330	685	795
331	687	792
332	689	790
333	691	788
334	693	786
335	695	784
336	696	781
337	698	779
338	700	776
339	701	774
340	703	772
341	705	769
342	707	767
343	711	766
344	713	765
345	715	763
346	717	760
347	719	758
348	721	756
349	723	754
350	726	753
351	728	751
352	730	749
353	732	747
354	734	744
355	736	742
356	738	740
357	741	739
358	742	736
359	744	734
360	746	731
361	748	729
362	750	727
363	751	725
364	753	722
365	755	720
366	758	719
367	761	717
368	762	715
369	764	712
370	767	711
371	768	708
372	771	707
373	773	704
374	774	702
375	776	700
376	778	697
377	780	695
378	782	693
379	783	691
380	785	688
381	788	686
382	790	685
383	792	682
384	793	680
385	795	678
386	797	676
387	799	673
388	801	671
389	803	669
390	806	668
391	808	665
392	810	663
393	812	661
394	813	659
395	815	657
396	817	655
397	819	652
398	822	651
399	824	649
400	826	647
401	828	645
402	830	642
403	832	640
404	835	639
405	837	637
406	839	634
407	841	632
408	842	630
409	844	628
410	846	626
411	848	623
412	850	621
413	852	619
414	854	617
415	856	615
416	857	613
417	859	610
418	861	608
419	862	605
420	864	603
421	866	601
422	869	599
423	870	597
424	872	595
425	874	593
426	877	591
427	879	589
428	881	587
429	883	585
430	885	583
431	887	581
432	889	579
433	891	577
434	893	575
435	895	573
436	898	571
437	900	569
438	903	567
439	905	565
440	906	563
441	908	561
442	911	559
443	913	557
444	915	555
445	917	553
446	920	551
447	921	549
448	923	547
449	925	545
450	927	542
451	930	541
452	932	539
453	934	537
454	935	534
455	937	532
456	939	530
457	941	528
458	943	526
459	946	524
460	948	522
461	950	520
462	953	518
463	955	516
464	957	514
465	958	512
466	961	510
467	964	508
468	966	506
469	968	504
470	970	502
471	973	500
472	975	498
473	977	496
474	979	494
475	980	492
476	983	490
477	985	488
478	987	486
479	989	484
480	990	482
481	992	479
482	994	477
483	996	475
484	998	473
485	1000	471
486	1003	469
487	1005	467
488	1008	465
489	1010	464
490	1013	462
491	1015	460
492	1018	458
493	1020	456
494	1021	454
495	1024	452
496	1026	450
497	1027	447
498	1029	445
499	1031	443
500	1033	441
501	1035	439
502	1037	437
503	1039	434
504	1041	432
505	1042	430
506	1044	428
507	1046	426
508	1049	424
509	1050	422
510	1052	420
511	1054	418
512	1056	416
513	1058	413
514	1060	411
515	1062	409
516	1065	408
517	1068	406
518	1069	403
519	1072	402
520	1075	400
521	1077	398
522	1078	396
523	1080	393
524	1082	391
525	1084	389
526	1086	387
527	1089	385
528	1091	383
529	1094	381
530	1095	379
531	1097	377
532	1099	375
533	1101	373
534	1103	371
535	1105	369
536	1107	367
537	1109	365
538	1112	363
539	1114	361
540	1116	359
541	1119	357
542	1120	355
543	1122	352
544	1124	350
545	1126	348
546	1127	346
547	1129	344
548	1131	342
549	1133	340
550	1135	337
551	1137	335
552	1139	333
553	1142	332
554	1144	329
555	1146	327
556	1147	325
557	1149	323
558	1152	321
559	1153	319
560	1156	317
561	1157	315
562	1159	313
563	1161	310
564	1163	308
565	1165	306
566	1167	304
567	1169	302
568	1171	300
569	1172	298
570	1174	296
571	1176	294
572	1178	292
573	1180	289
574	1182	287
575	1184	285
576	1185	283
577	1187	281
578	1190	279
579	1192	277
580	1193	275
581	1196	273
582	1199	271
583	1202	269
584	1204	267
585	1206	265
586	1207	263
587	1209	261
588	1211	259
589	1212	256
590	1215	255
591	1217	253
592	1219	250
593	1221	248
594	1223	246
595	1225	244
596	1227	242
597	1229	240
598	1231	238
599	1233	236
600	1235	234
601	1237	232
602	1239	230
603	1241	228
604	1242	225
605	1244	223
606	1246	221
607	1248	219
608	1250	217
609	1252	215
610	1254	213
611	1256	211
612	1258	209
613	1261	207
614	1264	205
615	1266	203
616	1269	201
617	1271	199
618	1273	197
619	1275	195
620	1277	193
621	1280	191
622	1282	189
623	1284	187
624	1287	185
625	1289	183
626	1292	181
627	1294	179
628	1297	177
629	1299	175
630	1302	173
631	1304	171
632	1306	169
633	1310	167
634	1312	165
635	1316	163
636	1318	161
637	1321	159
638	1323	157
639	1327	155
640	1329	153
641	1332	151
642	1334	149
643	1336	147
644	1339	145
645	1342	143
646	1345	141
647	1347	139
648	1350	137
649	1353	135
650	1355	133
651	1358	131
652	1360	129
653	1363	127
654	1365	125
655	1367	122
656	1371	121
657	1374	119
658	1377	117
659	1380	115
660	1383	112
661	1385	110
662	1387	108
663	1390	106
664	1393	104
665	1395	102
666	1398	100
667	1400	98
668	1402	96
669	1405	94
670	1407	92
671	1409	90
672	1411	88
673	1413	85
674	1415	83
675	1418	81
676	1420	79
677	1424	77
678	1426	75
679	1427	73
680	1429	71
681	1431	69
682	1434	67
683	1436	65
684	1438	62
685	1440	60
686	1442	58
687	1444	56
688	1447	54
689	1450	52
690	1452	50
691	1454	48
692	1456	46
693	1458	44
694	1460	42
695	1462	39
696	1464	37
697	1466	35
698	1468	33
699	1470	31
700	1472	29
701	1474	27
702	1476	25
703	1479	23
704	1481	21
705	1483	18
706	1484	16
707	1487	14
708	1489	12
709	1491	10
710	1493	8
711	1494	6
712	1496	4
713	1498	2
714	1501	0
